online,•为了提高对账速度及成功率，当前支付方式已开随机额度，请输入整数存款金额，将随机增加0.11~0.99元！,•请保留好转账操作单据作为核对证明。<br>•如出现充值失败或充值后未到账等情况，请联系在线客服获取帮助。
company,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•先查看要入款的银行账号信息，然后通过网上银行或者手机银行进行转账，转账成功后再如实提交转账信息，财务专员查收到信息后会及时添加您的款项。<br>•请尽可能选择同行转账，可快速到账。<br>•存款完成后，保留单据以利核对并确保您的权益。<br>•如出现充值失败或充值后未到账等情况，请联系在线客服获取帮助。
wechat,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•请先查看入款账号信息或扫描二维码。<br>•支付成功后，请等待几秒钟，提示 「支付成功」 按确认键后再关闭支付窗口。<br>•为了系统快速完成转账，请输入订单号后5位，以加快系统入款速度。<br>•如出现充值失败或充值后未到账等情况，请联系在线客服获取帮助。
alipay,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•请先查看入款账号信息或扫描二维码。<br>•支付成功后，请等待几秒钟，提示 「支付成功」 按确认键后再关闭支付窗口。<br>•为了系统快速完成转账，请输入订单号后5位，以加快系统入款速度。<br>•如出现充值失败或充值后未到账等情况，请联系在线客服获取帮助。
qq,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•请先查看入款账号信息或扫描二维码。<br>•支付成功后，请等待几秒钟，提示 「支付成功」 按确认键后再关闭支付窗口。<br>•为了系统快速完成转账，请输入订单号后5位，以加快系统入款速度。<br>•如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
jd,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•请先查看入款账号信息或扫描二维码。<br>•支付成功后，请等待几秒钟，提示 「支付成功」 按确认键后再关闭支付窗口。<br>•为了系统快速完成转账，请输入订单号后5位，以加快系统入款速度。<br>•如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
bd,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•请先查看入款账号信息或扫描二维码。<br>•支付成功后，请等待几秒钟，提示 「支付成功」 按确认键后再关闭支付窗口。<br>•为了系统快速完成转账，请输入订单号后5位，以加快系统入款速度。<br>•如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
bitcoin,,•为了方便系统快速完成转账，请输入正确的txId，交易时间，以加快系统入款速度。<br>•建议您使用Internet Explorer 9以上、360浏览器、Firefox或Google Chrome等浏览器浏览。<br>•如出现充值失败或充值后未到账等情况，请联系在线客服获取帮助
onecodepay,• 存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•五码合一，使用网银，支付宝，微信，qq钱包，京东钱包均可扫描二维码进行转账存款。<br>•支付成功后，请等待几秒钟，提示 「支付成功」 按确认键后再关闭支付窗口。<br>•为了系统快速完成转账，请输入订单号后5位，以加快系统入款速度。<br>•如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
other,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•请先查看入款账号信息或扫描二维码。<br>•支付成功后，请等待几秒钟，提示 「支付成功」 按确认键后再关闭支付窗口。<br>•如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
unionpay,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•支付成功后，请等待几秒钟，提示「支付成功」按确认键后再关闭支付窗口。<br>•如出现充值失败或充值后未到账等情况，请联系在线客服获取帮助。
counter,•存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•先查看要入款的银行账号信息，然后通过网上银行、ATM、柜台或手机银行进行转账，转账成功后再如实提交转账信息，财务专员查收到信息后会及时添加您的款项。<br>•请尽可能的选择同行转账以便快速到账。<br>•存款完成后，保留单据以利核对并确保您的权益。<br>•如出现充值失败或充值后未到账等情况，请联系客服获取帮助。
easy,,•当前支付额度必须精确到小数点，请严格核对您的转账金额精确到分，如：100.51，否则无法提高对账速度及成功率，谢谢您的配合。
default,• 存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,•如出现充值失败或充值未到账情况，请联系在线客服获取帮助。
bindPhone,,1.运营商发送短信可能有延迟，请耐心等几分钟。<br>2.若几分仍未收到验证码，请您重新获取或联系在线客服。
registerBindPhone,,1.忘记密码时，可通过手机短信找回。<br>2.运营商发送短信可能有延迟，请耐心等几分钟。<br>3.若几分仍未收到验证码，请您重新获取或联系在线客服。
